epoch,time,loss,lr
0,0,0.0154,0.01
25,0,0.00415,0.01
50,0,0.00301,0.01
75,0,0.00275,0.01
100,0,0.00271,0.01
125,0,0.00263,0.01
150,0,0.00263,0.01
175,0,0.00258,0.01
200,0,0.0026,0.01
225,0,0.00257,0.01
250,0,0.00257,0.01
275,0,0.00261,0.01
300,0,0.00256,0.01
0,0,0.01545,0.01
25,0,0.0043,0.01
50,0,0.00296,0.01
75,0,0.00282,0.01
100,0,0.00263,0.01
125,0,0.00263,0.01
150,0,0.00258,0.01
175,0,0.00258,0.01
200,0,0.00262,0.01
225,0,0.0026,0.01
250,0,0.0026,0.01
275,0,0.00255,0.01
300,0,0.00256,0.01
0,0,0.01545,0.01
25,0,0.00409,0.01
50,0,0.00299,0.01
75,0,0.00274,0.01
100,0,0.00268,0.01
125,0,0.00267,0.01
150,0,0.00259,0.01
175,0,0.00261,0.01
200,0,0.00261,0.01
225,0,0.00258,0.01
250,0,0.0026,0.01
275,0,0.00255,0.01
300,0,0.00256,0.01
0,0,0.01544,0.01
25,0,0.00403,0.01
50,0,0.00298,0.01
75,0,0.00273,0.01
100,0,0.00272,0.01
125,0,0.00262,0.01
150,0,0.00267,0.01
175,0,0.00262,0.01
200,0,0.00258,0.01
225,0,0.00255,0.01
250,0,0.00261,0.01
275,0,0.00251,0.005
300,0,0.00253,0.005
0,0,0.01538,0.01
25,0,0.00417,0.01
50,0,0.00305,0.01
75,0,0.00278,0.01
100,0,0.00266,0.01
125,0,0.00265,0.01
150,0,0.00261,0.01
175,0,0.00259,0.01
200,0,0.00256,0.01
225,0,0.0026,0.01
250,0,0.00255,0.01
275,0,0.00257,0.01
300,0,0.0025,0.01
