epoch,time,loss,lr
0,0,0.01541,0.001
25,0,0.01391,0.001
50,0,0.01291,0.001
75,0,0.01071,0.001
100,0,0.00595,0.001
125,0,0.00385,0.001
150,0,0.00367,0.001
175,0,0.00349,0.001
200,0,0.00322,0.001
225,0,0.00328,0.001
250,0,0.00314,0.001
275,0,0.0031,0.001
300,0,0.00302,0.001
0,0,0.0154,0.001
25,0,0.01386,0.001
50,0,0.01278,0.001
75,0,0.01048,0.001
100,0,0.00556,0.001
125,0,0.00392,0.001
150,0,0.00365,0.001
175,0,0.00348,0.001
200,0,0.0033,0.001
225,0,0.00324,0.001
250,0,0.00303,0.001
275,0,0.00294,0.001
300,0,0.00303,0.001
0,0,0.01539,0.001
25,0,0.01391,0.001
50,0,0.0128,0.001
75,0,0.01072,0.001
100,0,0.00543,0.001
125,0,0.00391,0.001
150,0,0.0036,0.001
175,0,0.00341,0.001
200,0,0.0033,0.001
225,0,0.0031,0.001
250,0,0.00311,0.001
275,0,0.00304,0.001
300,0,0.00303,0.001
0,0,0.01544,0.001
25,0,0.01392,0.001
50,0,0.01274,0.001
75,0,0.01059,0.001
100,0,0.00572,0.001
125,0,0.004,0.001
150,0,0.0036,0.001
175,0,0.00345,0.001
200,0,0.00323,0.001
225,0,0.00321,0.001
250,0,0.00306,0.001
275,0,0.00298,0.001
300,0,0.00308,0.001
0,0,0.01548,0.001
25,0,0.01388,0.001
50,0,0.01283,0.001
75,0,0.0106,0.001
100,0,0.00573,0.001
125,0,0.00389,0.001
150,0,0.00359,0.001
175,0,0.00346,0.001
200,0,0.00333,0.001
225,0,0.00312,0.001
250,0,0.00307,0.001
275,0,0.003,0.001
300,0,0.00296,0.001
