epoch,time,loss,lr
0,0,0.01548,0.001
25,0,0.01396,0.001
50,0,0.01278,0.001
75,0,0.01053,0.001
100,0,0.00567,0.001
125,0,0.00388,0.001
150,0,0.00362,0.001
175,0,0.00342,0.001
200,0,0.00337,0.001
225,0,0.0031,0.001
250,0,0.00309,0.001
275,0,0.0031,0.001
300,0,0.00293,0.001
0,0,0.01549,0.001
25,0,0.01394,0.001
50,0,0.01274,0.001
75,0,0.01031,0.001
100,0,0.0056,0.001
125,0,0.00397,0.001
150,0,0.00367,0.001
175,0,0.0035,0.001
200,0,0.00326,0.001
225,0,0.00324,0.001
250,0,0.0031,0.001
275,0,0.00303,0.001
300,0,0.00309,0.001
0,0,0.01548,0.001
25,0,0.01387,0.001
50,0,0.0127,0.001
75,0,0.01033,0.001
100,0,0.00554,0.001
125,0,0.00407,0.001
150,0,0.00376,0.001
175,0,0.00349,0.001
200,0,0.0033,0.001
225,0,0.00328,0.001
250,0,0.00311,0.001
275,0,0.00303,0.001
300,0,0.00292,0.001
0,0,0.01548,0.001
25,0,0.01391,0.001
50,0,0.01277,0.001
75,0,0.01056,0.001
100,0,0.00598,0.001
125,0,0.00408,0.001
150,0,0.00356,0.001
175,0,0.00351,0.001
200,0,0.00321,0.001
225,0,0.00315,0.001
250,0,0.00311,0.001
275,0,0.003,0.001
300,0,0.00296,0.001
0,0,0.01555,0.001
25,0,0.01395,0.001
50,0,0.01291,0.001
75,0,0.0103,0.001
100,0,0.00526,0.001
125,0,0.00407,0.001
150,0,0.00366,0.001
175,0,0.00348,0.001
200,0,0.00331,0.001
225,0,0.0032,0.001
250,0,0.00316,0.001
275,0,0.00303,0.001
300,0,0.00294,0.001
