epoch,time,loss,lr
0,0,0.01532,0.01
25,0,0.00403,0.01
50,0,0.00295,0.01
75,0,0.00283,0.01
100,0,0.00269,0.01
125,0,0.00263,0.01
150,0,0.00262,0.01
175,0,0.00261,0.01
200,0,0.00258,0.01
225,0,0.00259,0.01
250,0,0.00262,0.01
275,0,0.00256,0.005
300,0,0.00257,0.005
0,0,0.01535,0.01
25,0,0.00403,0.01
50,0,0.003,0.01
75,0,0.0028,0.01
100,0,0.00267,0.01
125,0,0.00267,0.01
150,0,0.0026,0.01
175,0,0.00261,0.01
200,0,0.00261,0.01
225,0,0.00257,0.01
250,0,0.00255,0.01
275,0,0.00255,0.01
300,0,0.0026,0.01
0,0,0.01534,0.01
25,0,0.004,0.01
50,0,0.00302,0.01
75,0,0.00284,0.01
100,0,0.00268,0.01
125,0,0.00266,0.01
150,0,0.00263,0.01
175,0,0.00261,0.01
200,0,0.00263,0.01
225,0,0.00259,0.01
250,0,0.00256,0.01
275,0,0.00256,0.01
300,0,0.0026,0.01
0,0,0.01531,0.01
25,0,0.00411,0.01
50,0,0.00302,0.01
75,0,0.00279,0.01
100,0,0.00269,0.01
125,0,0.00269,0.01
150,0,0.00265,0.01
175,0,0.00259,0.01
200,0,0.0026,0.01
225,0,0.00258,0.01
250,0,0.00259,0.01
275,0,0.00258,0.01
300,0,0.00256,0.01
0,0,0.01534,0.01
25,0,0.00399,0.01
50,0,0.0029,0.01
75,0,0.00276,0.01
100,0,0.00267,0.01
125,0,0.00265,0.01
150,0,0.00261,0.01
175,0,0.00263,0.01
200,0,0.0026,0.01
225,0,0.00257,0.01
250,0,0.00258,0.01
275,0,0.00258,0.01
300,0,0.00256,0.01
