epoch,time,loss,lr
0,0,0.01555,0.01
25,0,0.00362,0.01
50,0,0.00263,0.01
75,0,0.00254,0.01
100,0,0.0024,0.01
125,0,0.00243,0.01
150,0,0.00245,0.01
175,0,0.00228,0.01
200,0,0.00232,0.01
225,0,0.00228,0.01
250,0,0.00233,0.01
275,0,0.0022,0.01
300,0,0.00218,0.01
0,0,0.01551,0.01
25,0,0.00371,0.01
50,0,0.00264,0.01
75,0,0.00249,0.01
100,0,0.00244,0.01
125,0,0.00244,0.01
150,0,0.0024,0.01
175,0,0.00233,0.01
200,0,0.00237,0.01
225,0,0.00228,0.01
250,0,0.00226,0.01
275,0,0.00217,0.005
300,0,0.00214,0.005
0,0,0.01547,0.01
25,0,0.00342,0.01
50,0,0.00259,0.01
75,0,0.0025,0.01
100,0,0.00243,0.01
125,0,0.00245,0.01
150,0,0.00241,0.01
175,0,0.00231,0.01
200,0,0.00227,0.01
225,0,0.00245,0.01
250,0,0.00214,0.005
275,0,0.00214,0.005
300,0,0.00208,0.005
0,0,0.01556,0.01
25,0,0.00359,0.01
50,0,0.00263,0.01
75,0,0.00248,0.01
100,0,0.00241,0.01
125,0,0.00243,0.01
150,0,0.00231,0.01
175,0,0.0023,0.01
200,0,0.00226,0.01
225,0,0.00232,0.01
250,0,0.00225,0.01
275,0,0.00227,0.01
300,0,0.00214,0.005
0,0,0.01556,0.01
25,0,0.00351,0.01
50,0,0.00259,0.01
75,0,0.00245,0.01
100,0,0.0024,0.01
125,0,0.00261,0.01
150,0,0.00248,0.01
175,0,0.00243,0.01
200,0,0.00232,0.01
225,0,0.00229,0.01
250,0,0.00227,0.01
275,0,0.00224,0.01
300,0,0.00229,0.01
