epoch,time,loss,lr
0,0,0.01541,0.1
25,0,0.00354,0.1
50,0,0.00284,0.1
75,0,0.00283,0.1
100,0,0.00273,0.1
125,0,0.00317,0.1
150,0,0.00288,0.1
175,0,0.00277,0.1
200,0,0.00282,0.1
225,0,0.00286,0.1
250,0,0.00275,0.1
275,0,0.00283,0.1
300,0,0.00282,0.1
0,0,0.01549,0.1
25,0,0.00324,0.1
50,0,0.00289,0.1
75,0,0.00282,0.1
100,0,0.00287,0.1
125,0,0.00284,0.1
150,0,0.00288,0.1
175,0,0.00282,0.1
200,0,0.00319,0.1
225,0,0.00285,0.1
250,0,0.00282,0.05
275,0,0.00274,0.05
300,0,0.00273,0.05
0,0,0.01546,0.1
25,0,0.00362,0.1
50,0,0.00289,0.1
75,0,0.00281,0.1
100,0,0.00273,0.1
125,0,0.00275,0.1
150,0,0.00278,0.1
175,0,0.00285,0.1
200,0,0.00298,0.1
225,0,0.00281,0.1
250,0,0.00302,0.1
275,0,0.00292,0.1
300,0,0.00283,0.1
0,0,0.01543,0.1
25,0,0.00344,0.1
50,0,0.00285,0.1
75,0,0.00279,0.1
100,0,0.00277,0.1
125,0,0.00295,0.1
150,0,0.00285,0.1
175,0,0.00296,0.1
200,0,0.00281,0.1
225,0,0.00281,0.1
250,0,0.003,0.1
275,0,0.00292,0.1
300,0,0.00284,0.1
0,0,0.01547,0.1
25,0,0.00364,0.1
50,0,0.00286,0.1
75,0,0.0028,0.1
100,0,0.00273,0.1
125,0,0.00286,0.1
150,0,0.00282,0.1
175,0,0.00277,0.1
200,0,0.00275,0.1
225,0,0.00283,0.1
250,0,0.00279,0.1
275,0,0.00281,0.1
300,0,0.00284,0.1
