epoch,time,loss,lr
0,0,0.01544,0.01
25,0,0.00408,0.01
50,0,0.00305,0.01
75,0,0.00284,0.01
100,0,0.00267,0.01
125,0,0.00264,0.01
150,0,0.00262,0.01
175,0,0.00261,0.01
200,0,0.00255,0.01
225,0,0.00253,0.01
250,0,0.00251,0.01
275,0,0.00251,0.01
300,0,0.00247,0.01
0,0,0.01537,0.01
25,0,0.00425,0.01
50,0,0.00314,0.01
75,0,0.0028,0.01
100,0,0.00273,0.01
125,0,0.00265,0.01
150,0,0.00265,0.01
175,0,0.00257,0.01
200,0,0.00255,0.01
225,0,0.00255,0.01
250,0,0.00256,0.01
275,0,0.00255,0.01
300,0,0.00247,0.01
0,0,0.01551,0.01
25,0,0.00428,0.01
50,0,0.0031,0.01
75,0,0.00273,0.01
100,0,0.00273,0.01
125,0,0.00269,0.01
150,0,0.00258,0.01
175,0,0.00259,0.01
200,0,0.00254,0.01
225,0,0.00253,0.01
250,0,0.00252,0.01
275,0,0.00252,0.01
300,0,0.0025,0.01
0,0,0.0154,0.01
25,0,0.0043,0.01
50,0,0.00309,0.01
75,0,0.00289,0.01
100,0,0.00278,0.01
125,0,0.00269,0.01
150,0,0.00266,0.01
175,0,0.00257,0.01
200,0,0.00261,0.01
225,0,0.00255,0.01
250,0,0.00251,0.01
275,0,0.0025,0.01
300,0,0.00249,0.01
0,0,0.01549,0.01
25,0,0.00391,0.01
50,0,0.00292,0.01
75,0,0.00278,0.01
100,0,0.00268,0.01
125,0,0.00261,0.01
150,0,0.0026,0.01
175,0,0.00259,0.01
200,0,0.00254,0.01
225,0,0.00256,0.01
250,0,0.00244,0.005
275,0,0.00243,0.005
300,0,0.00245,0.005
