epoch,time,loss,lr
0,0,0.01538,0.005
25,0,0.00637,0.005
50,0,0.00344,0.005
75,0,0.00298,0.005
100,0,0.00283,0.005
125,0,0.00278,0.005
150,0,0.00269,0.005
175,0,0.00265,0.005
200,0,0.00264,0.005
225,0,0.00259,0.005
250,0,0.00259,0.005
275,0,0.00261,0.005
300,0,0.00256,0.005
0,0,0.01543,0.005
25,0,0.00633,0.005
50,0,0.00348,0.005
75,0,0.00297,0.005
100,0,0.00286,0.005
125,0,0.00278,0.005
150,0,0.00272,0.005
175,0,0.00269,0.005
200,0,0.00265,0.005
225,0,0.00263,0.005
250,0,0.00261,0.005
275,0,0.00254,0.005
300,0,0.00257,0.005
0,0,0.01545,0.005
25,0,0.00621,0.005
50,0,0.00349,0.005
75,0,0.00308,0.005
100,0,0.00286,0.005
125,0,0.00275,0.005
150,0,0.0027,0.005
175,0,0.00264,0.005
200,0,0.00269,0.005
225,0,0.00265,0.005
250,0,0.00263,0.005
275,0,0.0026,0.005
300,0,0.00263,0.005
0,0,0.01544,0.005
25,0,0.00641,0.005
50,0,0.00352,0.005
75,0,0.00299,0.005
100,0,0.00287,0.005
125,0,0.00274,0.005
150,0,0.00267,0.005
175,0,0.00269,0.005
200,0,0.00264,0.005
225,0,0.0026,0.005
250,0,0.00255,0.005
275,0,0.00255,0.005
300,0,0.00257,0.005
0,0,0.01542,0.005
25,0,0.00629,0.005
50,0,0.00344,0.005
75,0,0.00299,0.005
100,0,0.00287,0.005
125,0,0.00274,0.005
150,0,0.00269,0.005
175,0,0.00266,0.005
200,0,0.00261,0.005
225,0,0.00259,0.005
250,0,0.0026,0.005
275,0,0.00256,0.005
300,0,0.00259,0.005
