epoch,time,loss,lr
0,0,0.14804,0.01
25,0,0.02055,0.01
50,0,0.00853,0.01
75,0,0.00568,0.01
100,0,0.00478,0.01
125,0,0.00404,0.01
150,0,0.00393,0.01
175,0,0.00395,0.01
200,0,0.00368,0.01
225,0,0.00346,0.01
250,0,0.00344,0.01
275,0,0.00336,0.01
300,0,0.00327,0.01
0,0,0.14839,0.01
25,0,0.02043,0.01
50,0,0.0088,0.01
75,0,0.00589,0.01
100,0,0.00469,0.01
125,0,0.00411,0.01
150,0,0.0039,0.01
175,0,0.00378,0.01
200,0,0.00348,0.01
225,0,0.00343,0.01
250,0,0.00331,0.01
275,0,0.00325,0.01
300,0,0.00323,0.01
0,0,0.14798,0.01
25,0,0.02025,0.01
50,0,0.00908,0.01
75,0,0.00565,0.01
100,0,0.00508,0.01
125,0,0.0042,0.01
150,0,0.00386,0.01
175,0,0.00374,0.01
200,0,0.00361,0.01
225,0,0.00351,0.01
250,0,0.0033,0.01
275,0,0.00335,0.01
300,0,0.00318,0.01
0,0,0.14767,0.01
25,0,0.02015,0.01
50,0,0.00893,0.01
75,0,0.00565,0.01
100,0,0.00481,0.01
125,0,0.00413,0.01
150,0,0.00401,0.01
175,0,0.00368,0.01
200,0,0.00363,0.01
225,0,0.00346,0.01
250,0,0.00345,0.01
275,0,0.00324,0.01
300,0,0.00315,0.01
0,0,0.14334,0.01
25,0,0.02,0.01
50,0,0.00866,0.01
75,0,0.0056,0.01
100,0,0.00462,0.01
125,0,0.00424,0.01
150,0,0.00399,0.01
175,0,0.00375,0.01
200,0,0.00358,0.01
225,0,0.00353,0.01
250,0,0.00333,0.01
275,0,0.0032,0.01
300,0,0.00312,0.01
