epoch,time,loss,lr
0,0,0.0153,0.01
25,0,0.00474,0.01
50,0,0.00317,0.01
75,0,0.00293,0.01
100,0,0.00286,0.01
125,0,0.00287,0.01
150,0,0.00279,0.01
175,0,0.00282,0.01
200,0,0.00276,0.01
225,0,0.00275,0.01
250,0,0.00282,0.01
275,0,0.00274,0.01
300,0,0.00276,0.005
0,0,0.01527,0.01
25,0,0.00503,0.01
50,0,0.00318,0.01
75,0,0.00289,0.01
100,0,0.0029,0.01
125,0,0.00283,0.01
150,0,0.00283,0.01
175,0,0.00274,0.01
200,0,0.00279,0.01
225,0,0.00277,0.01
250,0,0.00275,0.01
275,0,0.00277,0.01
300,0,0.00281,0.01
0,0,0.01534,0.01
25,0,0.00462,0.01
50,0,0.00329,0.01
75,0,0.00294,0.01
100,0,0.00288,0.01
125,0,0.0028,0.01
150,0,0.00276,0.01
175,0,0.00275,0.01
200,0,0.00278,0.01
225,0,0.00276,0.01
250,0,0.00275,0.01
275,0,0.00276,0.01
300,0,0.00282,0.01
0,0,0.01534,0.01
25,0,0.00495,0.01
50,0,0.00317,0.01
75,0,0.00297,0.01
100,0,0.00291,0.01
125,0,0.00282,0.01
150,0,0.00285,0.01
175,0,0.00277,0.01
200,0,0.00276,0.01
225,0,0.00276,0.01
250,0,0.00275,0.01
275,0,0.00275,0.01
300,0,0.00278,0.01
0,0,0.01532,0.01
25,0,0.00462,0.01
50,0,0.00309,0.01
75,0,0.00292,0.01
100,0,0.00286,0.01
125,0,0.00278,0.01
150,0,0.00278,0.01
175,0,0.00277,0.01
200,0,0.00278,0.01
225,0,0.00275,0.01
250,0,0.00275,0.01
275,0,0.00283,0.01
300,0,0.00281,0.01
