epoch,time,loss,lr
0,0,0.01522,0.01
25,0,0.00525,0.01
50,0,0.00347,0.01
75,0,0.00314,0.01
100,0,0.00312,0.01
125,0,0.00306,0.01
150,0,0.00307,0.01
175,0,0.00299,0.01
200,0,0.00302,0.01
225,0,0.00303,0.01
250,0,0.00303,0.01
275,0,0.003,0.01
300,0,0.003,0.01
0,0,0.01531,0.01
25,0,0.00513,0.01
50,0,0.00343,0.01
75,0,0.00325,0.01
100,0,0.00311,0.01
125,0,0.00312,0.01
150,0,0.003,0.01
175,0,0.00301,0.01
200,0,0.00301,0.01
225,0,0.003,0.01
250,0,0.003,0.01
275,0,0.00301,0.01
300,0,0.00292,0.01
0,0,0.01528,0.01
25,0,0.00514,0.01
50,0,0.00346,0.01
75,0,0.00315,0.01
100,0,0.0031,0.01
125,0,0.00307,0.01
150,0,0.00295,0.01
175,0,0.00303,0.01
200,0,0.00301,0.01
225,0,0.00301,0.01
250,0,0.00304,0.01
275,0,0.003,0.01
300,0,0.00298,0.01
0,0,0.01532,0.01
25,0,0.00529,0.01
50,0,0.00348,0.01
75,0,0.00319,0.01
100,0,0.0031,0.01
125,0,0.00306,0.01
150,0,0.00303,0.01
175,0,0.00301,0.01
200,0,0.003,0.01
225,0,0.00299,0.01
250,0,0.00302,0.01
275,0,0.00303,0.01
300,0,0.00303,0.01
0,0,0.0153,0.01
25,0,0.00512,0.01
50,0,0.00341,0.01
75,0,0.00316,0.01
100,0,0.0031,0.01
125,0,0.00304,0.01
150,0,0.00299,0.01
175,0,0.00301,0.01
200,0,0.00301,0.01
225,0,0.00299,0.01
250,0,0.00301,0.01
275,0,0.00301,0.01
300,0,0.00293,0.01
