epoch,time,loss,lr
0,0,0.01546,0.001
25,0,0.01388,0.001
50,0,0.01281,0.001
75,0,0.01051,0.001
100,0,0.00575,0.001
125,0,0.00396,0.001
150,0,0.00368,0.001
175,0,0.00351,0.001
200,0,0.00331,0.001
225,0,0.00317,0.001
250,0,0.00311,0.001
275,0,0.00306,0.001
300,0,0.00297,0.001
0,0,0.01551,0.001
25,0,0.01384,0.001
50,0,0.01238,0.001
75,0,0.01027,0.001
100,0,0.00647,0.001
125,0,0.00423,0.001
150,0,0.00379,0.001
175,0,0.00346,0.001
200,0,0.00338,0.001
225,0,0.0032,0.001
250,0,0.00308,0.001
275,0,0.00308,0.001
300,0,0.00294,0.001
0,0,0.01546,0.001
25,0,0.0138,0.001
50,0,0.01249,0.001
75,0,0.0101,0.001
100,0,0.00583,0.001
125,0,0.00416,0.001
150,0,0.00369,0.001
175,0,0.00342,0.001
200,0,0.0033,0.001
225,0,0.00313,0.001
250,0,0.003,0.001
275,0,0.00306,0.001
300,0,0.00294,0.001
0,0,0.01544,0.001
25,0,0.01382,0.001
50,0,0.01263,0.001
75,0,0.01044,0.001
100,0,0.00617,0.001
125,0,0.00395,0.001
150,0,0.00371,0.001
175,0,0.00343,0.001
200,0,0.00329,0.001
225,0,0.00326,0.001
250,0,0.00305,0.001
275,0,0.00309,0.001
300,0,0.00292,0.001
0,0,0.01547,0.001
25,0,0.01384,0.001
50,0,0.01255,0.001
75,0,0.0104,0.001
100,0,0.00561,0.001
125,0,0.0041,0.001
150,0,0.0037,0.001
175,0,0.00338,0.001
200,0,0.00336,0.001
225,0,0.00326,0.001
250,0,0.00302,0.001
275,0,0.00294,0.001
300,0,0.00296,0.001
