epoch,time,loss,lr
0,0,0.01556,0.01
25,0,0.0038,0.01
50,0,0.00286,0.01
75,0,0.00268,0.01
100,0,0.00258,0.01
125,0,0.00255,0.01
150,0,0.00249,0.01
175,0,0.00248,0.01
200,0,0.00243,0.01
225,0,0.00241,0.01
250,0,0.00243,0.01
275,0,0.00244,0.01
300,0,0.00235,0.01
0,0,0.0155,0.01
25,0,0.00393,0.01
50,0,0.00289,0.01
75,0,0.00269,0.01
100,0,0.00261,0.01
125,0,0.00255,0.01
150,0,0.00251,0.01
175,0,0.00247,0.01
200,0,0.00249,0.01
225,0,0.00245,0.01
250,0,0.00242,0.01
275,0,0.00241,0.01
300,0,0.00241,0.01
0,0,0.01552,0.01
25,0,0.00381,0.01
50,0,0.00282,0.01
75,0,0.00263,0.01
100,0,0.00258,0.01
125,0,0.00255,0.01
150,0,0.00253,0.01
175,0,0.00247,0.01
200,0,0.0025,0.01
225,0,0.00244,0.01
250,0,0.00241,0.01
275,0,0.00238,0.01
300,0,0.00232,0.005
0,0,0.01539,0.01
25,0,0.00377,0.01
50,0,0.00287,0.01
75,0,0.00269,0.01
100,0,0.0026,0.01
125,0,0.00255,0.01
150,0,0.00252,0.01
175,0,0.00249,0.01
200,0,0.00244,0.01
225,0,0.00245,0.01
250,0,0.00242,0.01
275,0,0.00239,0.01
300,0,0.00236,0.01
0,0,0.01546,0.01
25,0,0.00379,0.01
50,0,0.00282,0.01
75,0,0.00268,0.01
100,0,0.00258,0.01
125,0,0.00253,0.01
150,0,0.00249,0.01
175,0,0.00249,0.01
200,0,0.00246,0.01
225,0,0.00241,0.01
250,0,0.00244,0.01
275,0,0.00239,0.01
300,0,0.00238,0.01
