epoch,time,loss,lr
0,0,0.01534,0.01
25,0,0.00413,0.01
50,0,0.00304,0.01
75,0,0.00272,0.01
100,0,0.00264,0.01
125,0,0.00266,0.01
150,0,0.0025,0.01
175,0,0.00259,0.01
200,0,0.00253,0.01
225,0,0.0025,0.01
250,0,0.00245,0.01
275,0,0.00245,0.01
300,0,0.00248,0.01
0,0,0.01537,0.01
25,0,0.00406,0.01
50,0,0.00297,0.01
75,0,0.00271,0.01
100,0,0.00267,0.01
125,0,0.00262,0.01
150,0,0.00256,0.01
175,0,0.00255,0.01
200,0,0.00252,0.01
225,0,0.0025,0.01
250,0,0.00244,0.01
275,0,0.00244,0.01
300,0,0.00248,0.01
0,0,0.01538,0.01
25,0,0.00422,0.01
50,0,0.00294,0.01
75,0,0.00274,0.01
100,0,0.00268,0.01
125,0,0.00258,0.01
150,0,0.00257,0.01
175,0,0.00252,0.01
200,0,0.00246,0.01
225,0,0.00252,0.01
250,0,0.00247,0.01
275,0,0.00249,0.01
300,0,0.00242,0.01
0,0,0.01537,0.01
25,0,0.00405,0.01
50,0,0.00292,0.01
75,0,0.00271,0.01
100,0,0.00259,0.01
125,0,0.00269,0.01
150,0,0.00255,0.01
175,0,0.00257,0.01
200,0,0.00255,0.01
225,0,0.0025,0.01
250,0,0.00253,0.01
275,0,0.00245,0.01
300,0,0.00243,0.01
0,0,0.01539,0.01
25,0,0.00429,0.01
50,0,0.00311,0.01
75,0,0.00276,0.01
100,0,0.00265,0.01
125,0,0.0026,0.01
150,0,0.00259,0.01
175,0,0.00258,0.01
200,0,0.00254,0.01
225,0,0.00253,0.01
250,0,0.00244,0.01
275,0,0.00247,0.01
300,0,0.00246,0.01
