epoch,time,loss,lr
0,0,0.01543,0.01
25,0,0.00482,0.01
50,0,0.00345,0.01
75,0,0.0029,0.01
100,0,0.00278,0.01
125,0,0.00274,0.01
150,0,0.00262,0.01
175,0,0.00258,0.01
200,0,0.00255,0.01
225,0,0.00248,0.01
250,0,0.0025,0.01
275,0,0.00245,0.01
300,0,0.00245,0.01
0,0,0.01546,0.01
25,0,0.00479,0.01
50,0,0.00351,0.01
75,0,0.00291,0.01
100,0,0.00266,0.01
125,0,0.00269,0.01
150,0,0.00259,0.01
175,0,0.00252,0.01
200,0,0.00253,0.01
225,0,0.00252,0.01
250,0,0.0025,0.01
275,0,0.00246,0.01
300,0,0.00248,0.01
0,0,0.01544,0.01
25,0,0.00474,0.01
50,0,0.00337,0.01
75,0,0.00282,0.01
100,0,0.00278,0.01
125,0,0.00264,0.01
150,0,0.00258,0.01
175,0,0.00252,0.01
200,0,0.00247,0.01
225,0,0.00248,0.01
250,0,0.00251,0.01
275,0,0.00246,0.01
300,0,0.00249,0.01
0,0,0.01541,0.01
25,0,0.00515,0.01
50,0,0.00344,0.01
75,0,0.00291,0.01
100,0,0.00275,0.01
125,0,0.00265,0.01
150,0,0.0026,0.01
175,0,0.00256,0.01
200,0,0.00258,0.01
225,0,0.00251,0.01
250,0,0.00247,0.01
275,0,0.00247,0.01
300,0,0.00243,0.01
0,0,0.01553,0.01
25,0,0.00492,0.01
50,0,0.00334,0.01
75,0,0.00287,0.01
100,0,0.00268,0.01
125,0,0.00262,0.01
150,0,0.0026,0.01
175,0,0.00253,0.01
200,0,0.00256,0.01
225,0,0.00249,0.01
250,0,0.00252,0.01
275,0,0.00248,0.01
300,0,0.00244,0.01
