epoch,time,loss,lr
0,0,0.01542,0.01
25,0,0.0046,0.01
50,0,0.00309,0.01
75,0,0.00285,0.01
100,0,0.00273,0.01
125,0,0.00267,0.01
150,0,0.00271,0.01
175,0,0.00266,0.01
200,0,0.00267,0.01
225,0,0.00265,0.01
250,0,0.00261,0.01
275,0,0.00268,0.01
300,0,0.00265,0.01
0,0,0.01537,0.01
25,0,0.00442,0.01
50,0,0.00305,0.01
75,0,0.00284,0.01
100,0,0.00272,0.01
125,0,0.00266,0.01
150,0,0.00265,0.01
175,0,0.00269,0.01
200,0,0.00265,0.01
225,0,0.00263,0.01
250,0,0.00266,0.01
275,0,0.00263,0.01
300,0,0.00259,0.005
0,0,0.01544,0.01
25,0,0.00427,0.01
50,0,0.0031,0.01
75,0,0.00283,0.01
100,0,0.00268,0.01
125,0,0.00273,0.01
150,0,0.00271,0.01
175,0,0.00267,0.01
200,0,0.00263,0.01
225,0,0.00264,0.01
250,0,0.00266,0.01
275,0,0.00267,0.01
300,0,0.00264,0.01
0,0,0.01544,0.01
25,0,0.00442,0.01
50,0,0.0031,0.01
75,0,0.0028,0.01
100,0,0.00269,0.01
125,0,0.00268,0.01
150,0,0.00267,0.01
175,0,0.00265,0.01
200,0,0.00264,0.01
225,0,0.00265,0.01
250,0,0.00265,0.01
275,0,0.00262,0.01
300,0,0.00267,0.01
0,0,0.01536,0.01
25,0,0.00423,0.01
50,0,0.00305,0.01
75,0,0.00281,0.01
100,0,0.00272,0.01
125,0,0.00268,0.01
150,0,0.00263,0.01
175,0,0.00264,0.01
200,0,0.00268,0.01
225,0,0.00264,0.01
250,0,0.00262,0.01
275,0,0.00265,0.01
300,0,0.00265,0.01
