epoch,time,loss,lr
0,0,0.01541,0.001
25,0,0.01384,0.001
50,0,0.01256,0.001
75,0,0.01046,0.001
100,0,0.00591,0.001
125,0,0.00406,0.001
150,0,0.0036,0.001
175,0,0.00337,0.001
200,0,0.00332,0.001
225,0,0.0032,0.001
250,0,0.00311,0.001
275,0,0.00303,0.001
300,0,0.00294,0.001
0,0,0.01546,0.001
25,0,0.01395,0.001
50,0,0.01275,0.001
75,0,0.01038,0.001
100,0,0.00537,0.001
125,0,0.00391,0.001
150,0,0.00365,0.001
175,0,0.00345,0.001
200,0,0.00319,0.001
225,0,0.00315,0.001
250,0,0.00309,0.001
275,0,0.00306,0.001
300,0,0.00304,0.001
0,0,0.01548,0.001
25,0,0.01387,0.001
50,0,0.01287,0.001
75,0,0.01055,0.001
100,0,0.0059,0.001
125,0,0.004,0.001
150,0,0.0037,0.001
175,0,0.00334,0.001
200,0,0.00335,0.001
225,0,0.00312,0.001
250,0,0.0031,0.001
275,0,0.00302,0.001
300,0,0.00297,0.001
0,0,0.01544,0.001
25,0,0.0138,0.001
50,0,0.01264,0.001
75,0,0.01049,0.001
100,0,0.00614,0.001
125,0,0.00415,0.001
150,0,0.00369,0.001
175,0,0.00347,0.001
200,0,0.00336,0.001
225,0,0.00317,0.001
250,0,0.00315,0.001
275,0,0.00305,0.001
300,0,0.00303,0.001
0,0,0.01545,0.001
25,0,0.01384,0.001
50,0,0.01261,0.001
75,0,0.01023,0.001
100,0,0.00558,0.001
125,0,0.00411,0.001
150,0,0.00363,0.001
175,0,0.00347,0.001
200,0,0.00322,0.001
225,0,0.00312,0.001
250,0,0.00312,0.001
275,0,0.00303,0.001
300,0,0.003,0.001
